Launch Site,Lat,Long,class
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,0
CCAFS LC-40,28.56230197,-80.57735648,1
CCAFS LC-40,28.56230197,-80.57735648,1
VAFB SLC-4E,34.63283416,-120.6107455,0
VAFB SLC-4E,34.63283416,-120.6107455,0
VAFB SLC-4E,34.63283416,-120.6107455,1
VAFB SLC-4E,34.63283416,-120.6107455,1
VAFB SLC-4E,34.63283416,-120.6107455,1
VAFB SLC-4E,34.63283416,-120.6107455,1
VAFB SLC-4E,34.63283416,-120.6107455,0
VAFB SLC-4E,34.63283416,-120.6107455,0
VAFB SLC-4E,34.63283416,-120.6107455,0
VAFB SLC-4E,34.63283416,-120.6107455,0
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,0
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,0
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,0
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
KSC LC-39A,28.57325457,-80.64689529,1
CCAFS SLC-40,28.56319718,-80.57682003,1
CCAFS SLC-40,28.56319718,-80.57682003,1
CCAFS SLC-40,28.56319718,-80.57682003,0
CCAFS SLC-40,28.56319718,-80.57682003,0
CCAFS SLC-40,28.56319718,-80.57682003,0
CCAFS SLC-40,28.56319718,-80.57682003,1
CCAFS SLC-40,28.56319718,-80.57682003,0
